Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,56200.0,56300.0,52300.0,52700.0,44828.0703125,3333908
2014-01-03,53200.0,53400.0,52000.0,52700.0,44828.0703125,1793537
2014-01-06,52900.0,53300.0,51300.0,52500.0,44657.95703125,2504523
2014-01-07,52200.0,54200.0,52200.0,54000.0,45933.89453125,2081098
2014-01-08,54100.0,54300.0,53300.0,53900.0,45848.83203125,1353618
2014-01-09,53400.0,54100.0,52400.0,52400.0,44572.890625,1687262
2014-01-10,52100.0,52900.0,51500.0,51600.0,43892.390625,1445664
2014-01-13,51600.0,53300.0,51500.0,52500.0,44657.95703125,1271734
2014-01-14,52500.0,53900.0,52100.0,52100.0,44317.703125,1543502
2014-01-15,52100.0,52800.0,51500.0,51800.0,44062.515625,1536443
2014-01-16,52000.0,52300.0,51300.0,51500.0,43807.32421875,1312313
2014-01-17,51500.0,51800.0,50300.0,50300.0,42786.57421875,2319906
2014-01-20,50400.0,51100.0,50100.0,50600.0,43041.765625,1511651
2014-01-21,51100.0,52100.0,50800.0,51400.0,43722.2578125,2142320
2014-01-22,51100.0,53600.0,51000.0,53100.0,45168.328125,3054323
2014-01-23,53300.0,53900.0,52800.0,53300.0,45338.44921875,1507814
2014-01-24,53100.0,53300.0,51200.0,52700.0,44828.0703125,2081766
2014-01-27,51200.0,54000.0,51200.0,53500.0,45508.5859375,2614226
2014-01-28,53500.0,55100.0,53400.0,54200.0,46104.01953125,1862029
2014-01-29,54900.0,55400.0,53600.0,54000.0,45933.89453125,1959321
2014-02-03,53000.0,54300.0,53000.0,53600.0,45593.640625,1297739
2014-02-04,53100.0,54800.0,53000.0,54000.0,45933.89453125,2251914
2014-02-05,54600.0,54700.0,53900.0,53900.0,45848.83203125,941610
2014-02-06,54100.0,54200.0,53400.0,53700.0,45678.70703125,844843
2014-02-07,54200.0,54300.0,52700.0,54000.0,45933.89453125,874313
2014-02-10,53700.0,54200.0,53100.0,53900.0,45848.83203125,825073
2014-02-11,53600.0,53900.0,53100.0,53200.0,45253.390625,768548
2014-02-12,53600.0,53700.0,52100.0,52300.0,44487.82421875,1242089
2014-02-13,52300.0,53100.0,52100.0,52100.0,44317.703125,667746
2014-02-14,52700.0,53500.0,52600.0,53300.0,45338.44921875,738476
2014-02-17,53600.0,54000.0,52800.0,53200.0,45253.390625,598499
2014-02-18,53000.0,53400.0,52500.0,52800.0,44913.140625,607895
2014-02-19,52600.0,53200.0,52000.0,53200.0,45253.390625,1082381
2014-02-20,52700.0,53000.0,52200.0,52300.0,44487.82421875,1054584
2014-02-21,52600.0,53500.0,52500.0,53500.0,45508.5859375,1183689
2014-02-24,53600.0,53900.0,52700.0,52700.0,44828.0703125,792375
2014-02-25,53300.0,53900.0,53000.0,53900.0,45848.83203125,794047
2014-02-26,53900.0,54800.0,53600.0,54500.0,46359.20703125,1352311
2014-02-27,54500.0,55900.0,54000.0,55700.0,47379.9609375,1880457
2014-02-28,55800.0,56000.0,55000.0,55400.0,47124.76953125,1183130
2014-03-03,55600.0,56900.0,54500.0,56000.0,47635.14453125,1578890
2014-03-04,55600.0,56500.0,55200.0,55800.0,47465.01953125,1111525
2014-03-05,56400.0,56900.0,56000.0,56700.0,48230.5859375,1179068
2014-03-06,56400.0,56700.0,55300.0,55800.0,47465.01953125,860907
2014-03-07,55800.0,55900.0,55100.0,55600.0,47294.90234375,603294
2014-03-10,55100.0,55400.0,54500.0,54800.0,46614.3984375,638071
2014-03-11,54800.0,55900.0,54700.0,55800.0,47465.01953125,943842
2014-03-12,56700.0,57000.0,55600.0,55700.0,47379.9609375,1189508
2014-03-13,55800.0,56300.0,54700.0,54800.0,46614.3984375,1090218
2014-03-14,54100.0,55200.0,53800.0,54900.0,46699.45703125,817661
2014-03-17,54600.0,56600.0,54600.0,56600.0,48145.52734375,1295568
2014-03-18,57100.0,57300.0,56200.0,56900.0,48400.71484375,1196508
2014-03-19,56900.0,57700.0,56700.0,57100.0,48570.84375,1122577
2014-03-20,57000.0,57400.0,56700.0,56900.0,48400.71484375,995543
2014-03-21,57500.0,58400.0,57300.0,58400.0,49676.66015625,1287823
2014-03-24,58800.0,58900.0,57800.0,58300.0,49591.58984375,808353
2014-03-25,58100.0,58600.0,57400.0,57900.0,49251.34375,581031
